Bana 				to me 
Sana				to you
Ona E 			to him
Ona K				to her
Ona C				to it
Bize				to us
Size				to you
Onlara			to them
Çocuklarıma			to my children
Arkadaşlarına		to your friends
Onun annesine E		to his mother
Onun evine K     		to her house
Bizim Evimize		to our house
Sizin Okulunuza		to your school
Onların köyüne		to their village
Benimkine			to mine
Seninkine			to yours
Onunkine E			to his
Onunkine K			to hers
Bizimkine			to ours
Sizinkine			to yours
Onlarınkine			to theirs
Beni				me
Seni				you
Onu E				him
Onu K				her
Onu C				it
Bizi				we
Sizi				you
Onları				them
Arkadaşlarımı		my friends
Senin okulunu		your school
Onun parasını E 		his money
Onun gözlerini K		her money
Onun ayaklarını C 		its feet
Bizim ülkemizi		our country
Sizin çocuklarınızı		your children
Onların dertlerini		their problems
Benimkini			mine
Seninkini			yours
Onunkini E			his
Onunkini K			hers
Bizimkini			ours
Sizinkini			yours
Onlarınkini			theirs
Benim için			for me
Senin için			for you
Onun için E 			for him
Onun için K			for her
Onun için C			for it
Bizim için			for us
Sizin için			for you	
Onlar için			for them
Evim için			for my house
Senin Evin için		for your house
Evi için E			for his house
Evi için K			for her house
Evi için C			for its house
Evimiz için			for our house
Sizin eviniz için		for your house
Onların evi için		for their house
Benimki için			for mine
Seninkiler için		for yours
Onunki için E			for his
Onunki için K			for hers
Bizimki için			for ours
Sizinki için			for yours
Onlarınki için			for theirs
Benden			from me
Senden			from you
Ondan E			from him
Ondan K			from her
Bizden			from us
Sizden			from you
Onlardan			from them
Ülkemden			from my country
Senin bahçenden		from your garden
Onun arabasından E	from his car
Onun kedisinden K		from her cat
Arkadaşlarımızdan		from our friends
Sizin köyünüzden		from your village
Onların geleceğinden	from their future
Benimkinden			from me
Seninkinden			from yours
Onunkinden E		from his
Onunkinden K		from hers
Onunkinden C		from its
Bizimkinden			from ours
Sizinkinden			from yours
Onlarınkinden		from theirs
Benimle			with me
Seninle			with you
Onunla E			with him
Onunla K			with her
Bizimle			with us
Sizinle				with you
Onlarla			with them
Annemle			with my mother
Senin babanla		with your father
Onun kızıyla E		with his daughter
Onun oğluyla K 			with her son
Dedemizle				with our grandfather
Sizin akrabalarınızla 		with your relatives
Onların oturma odasıyla		with their living room
Benimkiyle				with mine
Seninkiyle				with yours
Onunkiyle E				with his
Onunkiyle K				with hers
Bizimkiyle				with ours
Sizinkilerle				with yours
Onlarınkilerle				with theirs
Ben olmadan				without me
Sensiz				without you
Onsuz E				without him
Onsuz K				without her
Bizsiz					without us
Siz olmadan				without you
Onlar olmadan			without them
Arabam olmadan			without my car
Senin paran olmadan		without your money
Onun çiçekleri olmadan E		without his flowers
Onun vakti olmadan K		without her time
Bizim Evimiz olmadan		without our house
Sizin geleceğiniz olmadan		without your future
Onların tatili olmadan		without their holiday
Benimki olmadan			without mine
Seninki olmadan			without your
Onunki olmadan E			without his
Onunki olmadan K			without hers
Bizimkiler olmadan			without ours
Sizinkiler olmadan			without yours
Onlarınkiler olmadan		without theirs
Benden sonra			after me 
Senden sonra			after you
Ondan önce E			before him
Ondan sonra K			after her
Bizden önce				before us
Sizden sonra				after you
Onlardan önce			before them
Ülkemden önce			before my country
Senin tatilinin ardından		after your holiday
Onun tatilinin öncesinde E		before his holiday
Onun kocasından önce K		before her husband
Toplantımızdan önce		before our meeting
Sizin tatilinizin ardından		after your holiday
Onların çocuklarından evvel	before their children
Benimkinden sonra			after mine
Seninkinden önce			before yours
Onunkinden sonra E		after his
