Okuldayım. 			I’m at the school
Işteyim.			I’m at work
Ofisteyim.			I’m at the office
Evdeyim.			I’m at home
Okuldasın.			You are at the school
Hastanedeler. 		They are at the hospital
O otobüs durağında.  	He is at the bus stop
Marmaray'dayım.		I’m on Marmaray
Metrodasın. 			You are in the subway
Havaalanındayız. 		We are at the airport
Sokaktayım. 			I’m on the street
Arabalar caddede.   	The cars are on the street
Yoldalar. 	 		They are on the road
Sen Evindesin. 		You are in your house
Evimdeyim.			I am in my house	
I am not in my house.
Am I in my house?

Ali evinde.			Ali is in his home.
Ayşe okulunda.		Ayşe is in her school.
Biz İşimizdeyiz.		We are at our work.
Onlar bizim işimizdeler. 	They are in our work.
Senin Ofisindeyim.		I am at your office.
Okulumuzdalar. 		They are at our school.
Onlar Bu hastanedeler.	They are at this hospital.
Şu okuldasın. 		You are at that school.
Onlar için okuldayım.	I am at the school for them.
Bir evdeyim.			I am at a house.
Hayatımdaki insanlar önemlidir.   	The people in my life are important.
Kitaplardaki hikayeler ilginçtir.  	The stories in the books are interesting		
Şarkıdaki sözler ilginç. 		The words in the song are interesting	Yağmurdaki otobüs, çok eski	The bus in the rain is very old.
Fırtınadayım.	I am in the storm.                 		
pazartesi günkü toplantı için hazırım.	I am ready for the meeting on monday.
salı günü ankara'dasın			You are in Ankara on Tuesday.
çarşamba günü onlarlayım. 		I am with them on Wednesday.
perşembe günü evdeyim			I am at home on Thursday.
cuma öğledensonra seninleler. 		They are with you on Friday afternoon.
cumartesi akşamı bir partidesiniz.		You are at a party on Saturday evening.
pazar sabahı kahvaltıdayız.		We are at the breakfast on Sunday morning.
ilkbaharda mutluyum			I’m happy in the spring. 
sonbaharda hüzünlüsün. 			You are sad in the autumn.
yazları antalyadayız				We are in Antalya in the summers.
kışları evdesiniz.				You are at home in the winters.
ocak ayında ailemleyim			We are with my family in January.
Şubat ayında senin köyündeyiz.		We are at your village in February.
mart ayında çocuklarımlayım.		I’m with my children in March.
Ali Nisan’da senin köyünde.		Ali is at your village in April.
Ayşe Haziran’da tatilde.			Ayşe is on holiday in June.
Siz Temmuz'da ofistesiniz.			You are at the office in July.
Okuldan arkadaşlarım eylülde Bodrum'da.	My friends from the school are in Bodrum in September.
Ekimde Ankara’dayım.				I am in Ankara in October.
Kasımda Avrupa'dalar. 	 			They are in Europe in November.
aralıkta yorgunum 					I’m tired in December.
doğum günümde mutluyum			I’m happy on my birthday.
senin doğum gününde buradayım.		I’m here on your birthday.
arkadaşlarımla tatildeyim				I’m on holiday with my friends.
yılbaşında sizinleyim.				I’m with you on the new year.
yeni yılda buradalar.					They are here in the new year.

20.
Ailem bayramda tatilde.  			My family is on holiday on Bayram.
Kızım sabahları sinirlidir. 			My daughter is angry in the mornings.
Patronum öğlenleyin toplantıda.			My boss is in the meeting at noon.
Öğleden sonra seninleyiz.				We are with you in the afternoon.
akşamleyin bir partideyim				I’m at a party in the evening.
Öğrenciler öğlenleyin burada.			The students are here at noon.
şu anda meşgulüm.					I’m busy at the moment.		
hafta sonunda oradayım 				I’m there on the weekend.		
haftanın sonunda senleyim				I’m with you at the end of the week.
yılın başında ankara'dalar.				They are in Ankara at the beginning of the year.
günün sonunda yorgunum				I’m tired at the end of the day.
Doğum günüm için heyecanlıyım. 		I am excited for my birthday.
Partinin sonundaki sürpriz senin için. 		The surprise at the end of the party is for you.
toplantıdayım					I’m at the meeting.
arkadaşlarımla trendeyim				I’m on the train with my friends.
insanlarla otobüsteyim				I’m on the bus with the people.
3 adamla uçaktayım.				I’m on the plane with three men.
köpeğimle arabadayım				I’m in the car with my dog.
Bisikletteyim						I’m on the bike.
üniversiteden arkadaşımla taksideyim		I’m in the taxi with my friends from the university.
Yarın köydeyim					I’m in the village tomorrow.
köylerdeki yollar çok kötü				The roads in the villages are very bad.
almanya'daki insanlar mutlu			The people in Germany are happy.
amerika'daki insanlar şaşkın			The people in America are surprised.
rusya'daki insanlar endişeli worried 		The people in Russia are worried.
italya'daki insanlar çılgın				The people in Italy are crazy.
yunanistan'daki insanlar tembel 			The people in Greece are lazy.
fransa'daki insanlar zengin 			The people in France are rich.
istanbul'daki insanlar yorgun			The people in Istanbul are tired.
Anadoludaki insanlar güçlü				The people in Anatolia are strong.
Bahçedeki elmalar kırmızı				The apples in the garden are red.
Gelecekteyim.					I’m in the future.
Geçmişteyiz.						We are in the past.
Bilgisayardayım					I’m on the PC.
amcam televizyonda				My uncle is on TV.
teyzem radyoda					My aunt is on the radio.
internetteler.						They are on the internet.
facebook'tayım.					I’m on Facebook.
instagram dayım					I’m on Instagram.
Ali tiktok da.					Ali is on Tik Tok.
telefondayım					I’m on the phone
banyodaki halı çok çirkin.  			The carpet in the bathroom is very ugly.  
sınıftaki masa çok eski			The table in the class is very old.
sinemadaki insanlar heyecanlı 	 	The people in the cinema are excited.
Saat birde oradayım			I’m there at one o’clock.
Saat ikide evdeyim				I’m at home at two o’clock.
saat üçte ofisteyiz 				We are at the office at three o’clock.
saat dörtte hastanedeyim			I’m at the hospital at four o’clock.
saat 6 da ormandayım			I’m in the forest at six o’clock.
saat yedide evimdeyim			I’m at my home at seven o’clock.
saat sekizde salondayım			I’m in the living room at eight o’clock.
saat dokuzda yataktayım			I’m in bed at nine o’clock.
saat 10 da buradalar.			They are here at ten o’clock.
saat 11de oradasınız 			You are there at eleven o’clock.
Arkadaşlarım saat 12 de ofiste.		My friends are at the office at twelve o’clock.
Annem öğlenleyin arkadaşlarıyla beraber.	My mother is with her friends at noon.
Geceleyin odamdayım			I’m in my room at night.
şu anda meşgulüm 				I’m busy right now.
hafta sonunda oradayım			I’m there on the weekend.
yılın başında seninleyim			I’m  with you at the beginning of the year.
